iter	Passed	Remaining
0	9	1811
1	17	1699
2	24	1626
3	28	1416
4	33	1319
5	38	1255
6	53	1484
7	86	2073
8	99	2107
9	112	2132
10	127	2188
11	140	2208
12	155	2240
13	167	2226
14	175	2163
15	180	2077
16	186	2004
17	195	1975
18	208	1989
19	216	1946
20	224	1911
21	229	1855
22	235	1810
23	241	1768
24	247	1732
25	252	1692
26	260	1671
27	267	1644
28	275	1623
29	282	1599
30	291	1591
31	299	1572
32	307	1558
33	313	1532
34	323	1524
35	333	1517
36	338	1490
37	343	1462
38	349	1441
39	357	1428
40	364	1415
41	374	1408
42	382	1397
43	391	1387
44	397	1368
45	403	1350
46	413	1347
47	420	1333
48	426	1314
49	432	1296
50	437	1278
51	442	1258
52	447	1240
53	452	1223
54	461	1217
55	472	1213
56	516	1295
57	557	1364
58	571	1365
59	602	1406
60	607	1385
61	610	1359
62	620	1348
63	625	1328
64	628	1304
65	634	1288
66	642	1274
67	655	1272
68	669	1271
69	678	1260
70	685	1244
71	691	1229
72	697	1212
73	703	1197
74	710	1184
75	718	1171
76	724	1158
77	730	1142
78	736	1128
79	742	1113
80	748	1099
81	754	1085
82	759	1070
83	764	1055
84	769	1041
85	775	1028
86	781	1015
87	787	1002
88	793	989
89	800	978
90	808	968
91	816	958
92	822	946
93	829	935
94	835	923
95	842	912
96	850	902
97	856	891
98	862	879
99	868	868
100	874	856
101	879	844
102	883	831
103	889	820
104	895	809
105	901	799
106	907	789
107	914	778
108	920	768
109	924	756
110	929	744
111	935	734
112	941	724
113	948	715
114	954	705
115	960	695
116	967	685
117	972	676
118	977	665
119	982	654
120	988	645
121	995	636
122	1002	627
123	1011	619
124	1019	611
125	1026	602
126	1032	593
127	1041	585
128	1052	579
129	1060	570
130	1068	562
131	1076	554
132	1082	545
133	1092	537
134	1098	529
135	1105	520
136	1111	511
137	1117	502
138	1122	492
139	1128	483
140	1133	474
141	1139	465
142	1145	456
143	1152	448
144	1158	439
145	1165	430
146	1171	422
147	1177	413
148	1183	405
149	1188	396
150	1193	387
151	1199	378
152	1207	370
153	1215	363
154	1220	354
155	1225	345
156	1231	337
157	1237	328
158	1243	320
159	1250	312
160	1257	304
161	1263	296
162	1269	288
163	1275	280
164	1282	271
165	1289	264
166	1295	255
167	1301	247
168	1307	239
169	1311	231
170	1316	223
171	1321	215
172	1326	207
173	1331	198
174	1335	190
175	1340	182
176	1347	175
177	1352	167
178	1357	159
179	1361	151
180	1367	143
181	1371	135
182	1376	127
183	1382	120
184	1386	112
185	1392	104
186	1396	97
187	1401	89
188	1407	81
189	1412	74
190	1417	66
191	1422	59
192	1427	51
193	1433	44
194	1438	36
195	1442	29
196	1446	22
197	1451	14
198	1455	7
199	1461	0
